ids	Sample	Size	Depth	Biome	Region	Latitude	Longitude	Depth.nominal	Depth.Mixed.Layer	Temperature	Salinity	PO4	NO2NO3	Si	ChlorophyllA	TARA_067_SRF_0.22-0.45_G_C17442180_1_gene509279	TARA_067_SRF_0.22-0.45_G_C17242166_1_gene403688	TARA_145_SRF_0.22-3_G_scaffold242061_1_gene241117	TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127	TARA_145_SRF_0.22-3_G_scaffold270121_1_gene276069
TARA_151_SRF_0.22-3_G	TARA_151_SRF	Pico	SRF	Westerlies	NAO	36.1715	-29.023	5	56	17.303005	36.229605	0.0125	NA	0.6545	0.111686	0	0	0	0	0
TARA_152_SRF_0.22-3_G	TARA_152_SRF	Pico	SRF	Westerlies	NAO	43.517	-16.8449	2	NA	14.31916	35.99002	0.1595	2.159	1.236	0.200059	0	0	0	0	0
TARA_155_DCM_0.22-3_G	TARA_155_DCM	Pico	DCM	Westerlies	NAO	54.5746	-16.8264	40	32	10.876965	35.33752	0.566253	10.158	3.554362	0.634817	0	0	0	0	0
TARA_155_SRF_0.22-3_G	TARA_155_SRF	Pico	SRF	Westerlies	NAO	54.5305	-16.9377	5	64	11.09547	35.32522	0.401861	8.035625	0.967928	0.772148	0	0	0	0	0
TARA_158_DCM_0.22-3_G	TARA_158_DCM	Pico	DCM	Polar	AO	67.1178	0.369	25	10	6.73489	35.15072	0.709183	11.784	4.95809	0.764172	0	0	3.335973188179826e-4	4.4377593686833143e-4	0
TARA_158_SRF_0.22-3_G	TARA_158_SRF	Pico	SRF	Polar	AO	67.141	0.2355	5	11	8.47447	35.145165	0.356899	5.1155	4.012069	1.174328	0	0	0	6.035720981959163e-4	0
TARA_163_SRF_0.22-3_G	TARA_163_SRF	Pico	SRF	Polar	AO	76.1804	1.3093	5	111	1.899612	34.888656	0.290483	2.7725	4.18531	2.780097	0	0	0	0	0
TARA_168_DCM_0.22-3_G	TARA_168_DCM	Pico	DCM	Polar	AO	72.5869	44.1285	40	19	3.824545	34.975345	0.098435	0.821	1.135333	1.1063	0	0	0	0	0
TARA_168_SRF_0.22-3_G	TARA_168_SRF	Pico	SRF	Polar	AO	72.5128	44.0775	5	15	7.48766	34.92331	0	0.0595	1.725127	0.825342	0	0	0	0	0
TARA_173_DCM_0.22-3_G	TARA_173_DCM	Pico	DCM	Polar	AO	78.9537	79.3788	35	15	-1.29785	34.4561	0.209065	1.709	0.231772	2.003142	0	0	0	0	0
TARA_173_SRF_0.22-3_G	TARA_173_SRF	Pico	SRF	Polar	AO	78.9564	79.4201	5	15	-0.160312	33.613775	0.056871	0.441	0.273079	0.417069	0	0	0	0	0
TARA_175_SRF_0.22-3_G	TARA_175_SRF	Pico	SRF	Polar	AO	79.2233	66.3435	5	374	1.365705	34.264755	0.063634	0.3685	0.523062	1.019477	0	0	0	0	0
TARA_178_SRF_0.22-3_G	TARA_178_SRF	Pico	SRF	Polar	AO	77.1604	73.2057	5	16	1.325833	34.142392	0.047034	0.278	0.244154	0.119264	0	0	0	0	0
TARA_180_SRF_0.22-3_G	TARA_180_SRF	Pico	SRF	Polar	AO	74.8023	76.1478	5	11	2.507887	22.980169	0.23830200000000001	0.247333	11.775524	0.547446	0	0	0	0	0
TARA_188_DCM_0.22-3_G	TARA_188_DCM	Pico	DCM	Polar	AO	78.2528	91.8537	15	27	-1.680906	33.065344	0.298947	1.2055	0.705547	1.427906	0	0	0	0	0
TARA_188_SRF_0.22-3_G	TARA_188_SRF	Pico	SRF	Polar	AO	78.2518	91.8557	5	27	-1.649738	32.950844	0.216027	0.513	0.465648	1.417326	0	0	0	0	0
TARA_189_DCM_0.22-3_G	TARA_189_DCM	Pico	DCM	Polar	AO	77.9401	116.9045	35	150	-1.53759	33.76046	NA	NA	NA	0.641276	0	0	0	0	0
TARA_189_SRF_0.22-3_G	TARA_189_SRF	Pico	SRF	Polar	AO	77.9028	117.1545	5	150	0.10149	28.82053	NA	NA	NA	0.815481	0	0	0	0	0
TARA_191_SRF_0.22-3_G	TARA_191_SRF	Pico	SRF	Polar	AO	71.5948	160.9381	5	20	1.48885	28.41685	1.195806	1.06325	19.646147	0.431723	0	0	0	0	0
TARA_193_SRF_0.22-3_G	TARA_193_SRF	Pico	SRF	Polar	AO	71.0704	174.9916	5	17	2.4534	29.0291	1.614977	6.2695	30.149509	0.58652	0	0	0	0	0
TARA_194_DCM_0.22-3_G	TARA_194_DCM	Pico	DCM	Polar	AO	73.3824	-168.5345	35	14	-0.987833	31.56495	0.866194	1.9045	5.566842	0.544297	0	0	0	0	0
